screen_size,ROM,RAM,n_rear_cam,n_front_cam,battery_c,ratings,n_ratings,sales_p,discount_p,sales_idx
Medium,256,8,2,1,4000,4.5,14022,21999,0.29,30.85
Medium,128,6,2,1,4000,4.6,122001,18999,0.09,231.79
Large,128,6,3,1,6000,4.3,39881,12999,0.13,51.84
Large,64,6,4,1,5000,4.4,33364,14999,0.16,50.04
Large,64,6,4,1,5000,4.4,33364,14999,0.16,50.04
Large,128,6,4,1,5000,4.3,98156,11499,0.23,112.87
Large,128,6,4,1,6000,4.3,26752,16999,0.19,45.48
Large,64,6,4,1,6000,4.3,26752,15999,0.2,42.8
Large,64,6,4,1,6000,4.3,26752,15999,0.2,42.8
Large,128,6,4,1,6000,4.3,26752,16999,0.19,45.48
Large,128,6,4,1,5000,4.3,98156,11499,0.23,112.87
Large,128,6,4,1,5000,4.3,98156,11499,0.23,112.87
Large,128,8,4,1,6000,4.3,3960,18999,0.17,7.52
Large,128,6,4,2,4500,4.5,267028,15999,0.2,427.22
Large,64,6,4,1,5000,4.3,98156,10499,0.19,103.05
Large,32,2,1,1,5000,4.4,97955,7499,0.06,73.46
Large,32,2,1,1,5000,4.4,97955,7499,0.06,73.46
Large,32,2,1,1,5000,4.3,4850,7299,0.08,3.54
Large,32,2,1,1,5000,4.3,4850,7299,0.08,3.54
Large,64,4,3,1,5000,4.4,4906,9999,0.09,4.91
Large,64,4,3,1,5000,4.4,4906,9999,0.09,4.91
Large,64,4,3,1,5000,4.4,731,14999,0.06,1.1
Large,64,4,3,1,5000,4.4,731,14999,0.06,1.1
Large,128,6,3,1,5000,4.3,10996,16999,0.05,18.69
Large,128,6,3,1,5000,4.3,10996,16999,0.05,18.69
Large,64,4,3,1,5000,4.4,23941,9999,0.09,23.94
Large,32,3,3,1,5000,4.4,15348,8999,0.1,13.81
Large,64,4,3,1,5000,4.4,23941,9999,0.09,23.94
Large,32,3,3,1,5000,4.4,15348,8999,0.1,13.81
Large,64,6,3,1,5000,4.3,3677,14499,0.09,5.33
Large,64,4,1,1,5000,4.2,1096,8799,0.12,0.96
Large,64,4,3,1,5000,4.3,6434,13499,0.1,8.69
Large,64,4,3,1,5000,4.3,6434,13499,0.1,8.69
Large,64,6,3,1,5000,4.3,3677,14499,0.09,5.33
Large,64,4,1,1,5000,4.2,1096,8799,0.12,0.96
Large,128,6,3,1,5000,4.5,1206,17999,0.14,2.17
Large,128,6,3,1,5000,4.5,1206,17999,0.14,2.17
Large,32,3,2,1,6000,4.3,28794,8999,0.1,25.91
Large,128,6,3,1,5000,4.3,3677,15499,0.08,5.7
Large,128,6,3,1,5000,4.3,3677,15499,0.08,5.7
Large,128,4,3,1,5000,4.3,9853,16499,0.02,16.26
Large,64,4,3,1,5000,4.3,9853,15499,0.03,15.27
Large,64,4,3,1,5000,4.3,9853,15499,0.03,15.27
Medium,128,8,4,1,4500,4.4,4624,20149,0.08,9.32
Large,32,3,4,1,6000,4.3,13423,9999,0.16,13.42
Large,128,8,3,1,5000,4.3,6925,18499,0.02,12.81
Large,128,8,3,1,5000,4.3,6925,18499,0.02,12.81
Large,128,4,3,1,5000,4.3,9853,16499,0.02,16.26
Medium,128,6,4,1,4500,4.3,10126,18149,0.09,18.38
Medium,128,8,4,1,4500,4.4,4624,20149,0.08,9.32
Medium,128,8,4,1,5000,4.3,7334,17999,0.05,13.2
Medium,128,4,4,1,5000,4.3,11039,15999,0.05,17.66
Medium,128,6,4,1,5000,4.3,7004,16999,0.05,11.91
Medium,128,8,4,1,5000,4.3,7334,17999,0.05,13.2
Medium,128,6,4,1,5000,4.3,7004,16999,0.05,11.91
Medium,256,8,3,1,4300,4.3,105,29999,0.06,0.31
Medium,128,8,3,1,4310,4.3,4907,22149,0.07,10.87
Large,64,6,4,1,5000,4.3,64636,14999,0.16,96.95
Large,64,6,3,1,5000,4.3,12805,17149,0.09,21.96
Large,64,6,3,1,5000,4.3,12805,17149,0.09,21.96
Large,32,3,3,1,6000,4.4,155242,8999,0.18,139.7
Large,32,2,2,1,5000,4.4,223672,7499,0.16,167.73
Large,32,2,2,1,5000,4.4,223672,7499,0.16,167.73
Medium,128,6,3,1,4310,4.3,14204,19999,0.09,28.41
Medium,128,8,3,1,4300,4.3,105,27999,0.06,0.29
Medium,128,8,3,1,4300,4.3,105,27999,0.06,0.29
Medium,128,6,3,1,4300,4.1,19,25999,0.03,0.05
